model_key,from_id,to_id,n_compounds,r_squared,correlation,mean_error_abs,median_error_abs,sd_error_abs,q95_error_abs,max_error_abs,mean_error_rel,median_error_rel,sd_error_rel,q95_error_rel,max_error_rel,mean_ci_width,median_ci_width,sd_ci_width,q95_ci_width,max_ci_width,mean_ci_width_rel,median_ci_width_rel,sd_ci_width_rel,q95_ci_width_rel,max_ci_width_rel
0044_to_0225,0044,0225,186,0.7011037064298983,0.8206297866512547,0.9797531151255902,0.5692035043532429,1.314527383769578,3.5570924309594094,8.24890540789077,28.436222585665696,11.009292005482923,57.9392219442748,89.52617430025782,471.4645487926309,1.1976807525147946,1.161974997831285,0.4530218349639657,1.8764119396076686,2.5012289850649942,35.339556198004814,20.55615135367041,37.95551069040871,109.95185506556626,268.633177151089
0044_to_0228,0044,0228,186,0.6882076483699493,0.8125331032330768,1.0070862100554767,0.5981903775759383,1.3466858962541957,3.797656165478429,8.24708227834511,29.897632276882543,11.823413672723639,60.53778711869632,96.76062516481987,468.8759846916917,1.2496400483010037,1.2584280907916863,0.5014920892646101,2.0879183571490607,2.8212983719679627,36.924101731161706,22.768535682758717,40.37063310124646,119.16558202687818,282.56163148077786
0048_to_0063,0048,0063,38,0.98363644583418,0.978602760066824,0.1761220957211372,0.059909019204207103,0.2724627619712252,0.7253848661676201,1.229556519214901,8.36442491331765,2.8223728806652892,11.77044807645282,33.599137942886216,44.49595700168768,0.8358610534148263,0.7157192841756264,0.587075166017948,2.0827077602486708,2.9025563823924188,37.48058416656878,24.923624990877713,25.699706788182922,75.09849719663687,96.01320547136221
0048_to_0186,0048,0186,11,0.9892812594214033,0.975802121986394,0.2794984062130231,0.05783195699210264,0.3931128080894121,0.9928776603583325,1.0736897512962162,3.081780641138765,3.414522745805109,3.190564540618322,8.22527977916836,8.230400686603536,2.7518243778893217,2.764316672835818,0.6725360766148578,3.640858674624684,3.809999152779812,94.39425673747579,25.349604333940718,102.902225189187,241.30628978987983,243.37600056187298
0048_to_0210,0048,0210,195,0.8678108727714898,0.8732256057894472,0.4287857596065646,0.10118349591871012,1.4585484942047733,1.3252960021714137,14.121822435818924,14.944635536810871,6.63452807574861,32.228797798248614,56.63402042951617,395.3628215237382,0.47620451965709537,0.33213080725970423,0.36586225503790104,1.0913037868119613,2.370275635542402,23.656954822513512,22.527806490609017,9.70324479870986,44.3351347000534,50.09668307963753
0048_to_0219,0048,0219,29,0.575198474957618,0.6241243888398628,0.47656434869333164,0.08501862766107315,1.5191754064292717,1.0743305360162243,8.24495718403469,8.90128141886879,3.800795551744878,16.796373907795513,36.591931945834766,81.71414453949147,2.5690808872359088,2.1047211404585906,1.8539756980493067,6.490238033241767,9.075795423837391,81.8381871237364,75.34513516229532,45.951778899641276,149.18498982868337,150.37055329313696
0048_to_0236,0048,0236,196,0.9406902119328173,0.9683499636385585,0.17716356490461388,0.06226790618759276,0.38086197179751635,0.6858164149064512,2.982865094665817,9.337439174878227,4.199632811318174,18.954547643250915,30.957958639288364,162.6859653786727,0.32229465269594687,0.1975655540176826,0.5050327258074742,0.8961934534752325,4.067544718099231,13.891460098876383,8.793938254388365,10.349668772507442,40.39365347480805,51.84607321250307
0048_to_0238,0048,0238,202,0.9446713699177485,0.9689441210198655,0.17285016347465354,0.06176347322522657,0.3656766589822128,0.6609710974645624,2.999596601354177,9.313758427254397,3.858975601140033,17.890389371969057,30.424933288342924,159.10155622856254,0.31186395126327654,0.20048453614133255,0.45836868930313057,0.7990503555444656,3.5378651071242766,14.209034851917169,9.811147229375253,10.03038541816503,40.996448176119095,48.21336990406018
0048_to_0240,0048,0240,196,0.9344173973141185,0.9625285686422091,0.18035403867280572,0.06060908864968684,0.3885433198618554,0.7825326267781795,3.049859745486645,9.533824534464186,3.6310104021447813,19.014136917101908,29.74328887235508,152.15450147500584,0.31127226326173113,0.2072890067332056,0.44923272926091795,0.9444458426241811,3.586282235249457,13.421497712563642,10.00328411251393,7.747226460485918,30.083559517469386,49.07002658537097
0048_to_0244,0048,0244,198,0.8902222062580141,0.9337794011825462,0.2566398954191723,0.08722401202777813,0.5175760136515544,0.9893506348101296,4.183130768156107,14.910984178739362,6.315282610574869,33.47008444441256,54.57586493361559,331.21206679193995,0.36073784536697134,0.3286589906323394,0.4503195414387368,0.7767650716335878,3.1925791427561094,17.570160612147692,13.14805888471517,12.172512967780813,44.18951894079139,65.16460916625576
0048_to_0246,0048,0246,213,0.9065751219845593,0.9383657822260518,0.22760268243549703,0.07589780312770156,0.4650789237315697,0.806071565372092,4.118170869282972,12.888058863163117,5.606901847514258,22.7272876550803,45.17840966718899,202.63121120762574,0.324322873439927,0.32069060518514947,0.40547216741018444,0.6688369509699812,2.959975264486932,16.580373607743365,11.94084009634576,10.448382201627467,41.14813460341283,50.88367819678823
0048_to_0248,0048,0248,195,0.9052207223335627,0.9351110083089054,0.23146739504754704,0.07256335588765017,0.4654369612050181,0.9570254942269613,4.049617043474193,11.977946838260825,5.651608273498851,17.893460986123344,42.21989065515884,129.25200590447164,0.3281300526641043,0.3079360040781616,0.41701270562700316,0.6527528847016351,3.0639185595381537,16.658572927282144,13.124898120797612,8.58461223693825,38.35870622790877,43.86864706479217
0048_to_0252,0048,0252,189,0.8766410251119674,0.9304527523719848,0.2475360867334321,0.052153316092769963,0.5727705813678005,1.162538103488784,4.28780228554726,13.933691348870656,3.059651754350386,36.298574499495686,82.2396311064796,272.07878120479495,0.3565969974610273,0.27673213382387196,0.48010386521684095,0.9881886033251063,3.1109840923610825,14.509075412304442,9.96282518493057,12.593327459658544,45.25690518141308,60.70720131820819
0048_to_0254,0048,0254,175,0.8312416089757824,0.9041532011788714,0.2646363342220309,0.05875302270018645,0.6570499873795014,1.1230689166854337,5.555332005462885,13.55066001452272,3.6549676040096077,28.954398206803997,58.60105222193813,184.7292577265296,0.32596514934851245,0.25433788762646303,0.4054895623356916,0.8502967446049048,2.698400354184664,14.974235216231992,11.070264957667204,10.042585078290578,40.01395790760694,53.418237185251215
0048_to_0256,0048,0256,186,0.8887229640477602,0.9344007205445795,0.2251736513545348,0.05542915102754575,0.5348550100497401,1.0781799203435738,4.219206942521959,11.027335426447491,3.1110694317541547,24.209810374297152,53.53375585237818,168.86620688556573,0.3222183119056499,0.21444011331983814,0.40794967134297555,0.9246598537816986,2.5957057180722902,13.869703607207704,10.430728529817735,9.057540334723145,38.10802793889825,48.61875337327002
0048_to_0260,0048,0260,13,0.5911175376039305,0.7820546408288696,1.6515829060122433,0.996259727062176,1.8745789874082421,4.635140462931836,7.078048506780597,36.10088368248238,15.442474772339768,38.181577822466984,96.75642281326861,99.74339793666267,7.13205383852845,5.827261117099569,4.3078317130185075,12.91341179135284,19.30198402667844,139.74372646033427,98.55991820774344,101.65443412127223,262.44328677984834,270.77926585515434
0048_to_0262,0048,0262,46,0.8855163133438358,0.8642361566785268,0.9275210673542813,0.5902505351974252,0.9257545237726155,2.8784845483831134,4.349782695552286,13.70219585038842,6.0744884456996,22.10451889210959,56.605074602214785,121.37146165448726,2.895865692911784,2.550605829477628,2.4604926572241514,4.244823429009276,17.38566406497433,31.140433688539822,24.901899896012846,20.182303129609394,67.90842579208278,90.76648862259141
0048_to_0263,0048,0263,32,0.6670833119872606,0.6800595080714774,1.6406401223468654,0.843283901251934,1.9444451336584052,5.457981733910437,6.4747480814342575,29.021628249542967,8.173025874383802,57.86401758752674,145.4833904062118,271.6707742769059,4.610118897184563,4.883317671588145,1.8227034781009663,6.34966694531722,9.144721560468145,52.219027117015806,58.57169890214182,26.554972535287586,85.80367782625031,86.32410299921503
0048_to_0382,0048,0382,34,0.8859007657999355,0.9141738321906697,0.550085997141963,0.23630759193121564,1.0661291307366652,1.8422556563033115,5.962551637950451,12.932902776912117,5.031777464400706,16.813358491826715,48.66228937751329,58.68653186959105,2.825788573873176,2.0533476915249618,3.5005434250361236,5.062185878814503,21.84361659177182,60.788722670725576,53.43652510816314,34.15062964978478,137.59566240780077,155.58017781008283
0048_to_0383,0048,0383,28,0.9674037065334669,0.9298399974688496,0.4289413572112871,0.3235929348748541,0.5221411567481609,1.3467638644463586,2.3742926752270295,12.25113896522549,5.85375795834922,16.750629932003413,51.21183661929434,66.32102444768239,2.7085694397643127,2.1435349596265034,2.9916165893797273,5.5325472581075115,16.948049280560188,59.19577685241843,38.53925748752707,50.62734008187734,171.22335068788487,222.76164730304745
0048_to_0390,0048,0390,10,0.874893207983878,0.9358198289368708,0.11242088738122366,0.05521196891309277,0.15170040742020302,0.39848282518676226,0.41930724781386,5.402349574974024,3.57502526818207,6.402429863569643,17.288647068778285,20.080322190161628,0.7280971485272206,0.5214820731055596,0.4606458355862443,1.4606282699617874,1.568826546704294,41.6191780595814,32.368707156142925,30.26604683260922,91.06655861902678,116.0754922142202
0048_to_0391,0048,0391,70,0.9727942357524612,0.9444590574499047,0.08599286141451505,0.0581438099448513,0.20153987227994344,0.15724616550879036,1.6792437043420767,9.61244199371077,3.2039396199940535,34.118091531648766,20.290017794880747,284.81066898610527,0.21899202235584778,0.1742394180442921,0.15538853429958008,0.3389211337192586,1.2738047013617102,16.777462450317145,12.131418759037704,15.444381214738808,48.59807683376273,92.18768474273246
0048_to_0392,0048,0392,349,0.9304678853174098,0.9519678140810011,0.33611235150192104,0.1543226299256366,0.4821796782792327,1.5330752950743483,2.7764157639789144,17.10437067541043,6.738306978073968,33.044855267572814,62.35232636869629,244.46907823414398,0.40769849443253964,0.33042115860173915,0.3763499798047578,1.13950819725263,3.151049478759081,16.31383476426932,12.719988906076967,10.567700248836806,34.840156152482265,88.73785513742179
0048_to_0403,0048,0403,312,0.7133503251823377,0.784162523515302,0.40006925088927275,0.2073635143399719,0.4788152731926626,1.370098555976897,2.5598287217381737,27.040662847939537,14.641302954457498,33.96744767875445,95.69799266125736,214.27006869342344,0.473744763213931,0.22419842388455735,0.4150597691176273,1.103875406267074,1.2608015320687853,28.87468986083808,23.05145068483049,20.13762055703308,61.00436921040345,63.75628909954728
0048_to_0415,0048,0415,38,0.9146895679594494,0.9459681403279175,0.4192611830679896,0.24667378567566978,0.9685757162029627,0.7868397927454599,6.115738683304191,8.38377469362912,5.344156055012611,10.754150116757186,26.19051006964724,52.77192754598491,1.6935898392406337,1.5626566941168545,0.8202854584540041,3.0228771302304813,3.9293302325878,33.86540439054256,32.42477204603216,12.587279390583896,55.237839776874395,69.6817099170856
0048_to_0429,0048,0429,49,0.6267779561540993,0.6721211790975822,0.38591561498794896,0.1069558159951729,1.2133504428124624,1.2000241734693693,8.382764567195066,9.929038467597135,3.105120713547684,17.770088764020162,50.94732114918594,83.07992633493623,1.4607188525844537,1.2632903867030691,1.5408204459182668,2.1645077243473123,8.686106046884468,48.81229365414304,37.563646151108635,26.91907991337455,89.8451797527343,98.01393044153487
